,name,all_matches,true_matches,error_all_matches,error_true_matches,size,time
0,200018300047_463343.jpg,3362,14,2.5829,1.8803,"(1280, 960, 3)",0.1536
1,200018300204_458970.jpg,4240,33,2.7236,1.7862,"(1280, 960, 3)",0.2234
2,200018300634_461451.jpg,4232,10,2.6901,1.8382,"(960, 1280, 3)",0.1935
3,200018500242_464323.jpg,2260,8,2.6203,1.9124,"(960, 1280, 3)",0.1057
4,200018500302_461154.jpg,2660,13,2.7044,1.74,"(960, 1280, 3)",0.1476
5,200018500845_461490.jpg,22438,20,2.61,2.0884,"(1280, 960, 3)",1.0043
6,200067600130_340611.jpg,5172,59,2.513,1.5992,"(1280, 1280, 3)",0.3042
7,200067600168_341964.jpg,3560,11,2.6618,2.0784,"(960, 1280, 3)",0.1596
8,200067600293_341472.jpg,6790,29,2.6457,2.0432,"(1280, 1280, 3)",0.3042
9,200067700524_339357.jpg,6594,39,2.7359,2.0067,"(1280, 960, 3)",0.2932
10,200067700898_343530.jpg,2892,14,2.6696,1.9366,"(960, 1280, 3)",0.1297
11,200068000055_343134.jpg,6274,61,2.6791,1.8439,"(1280, 1280, 3)",0.2793
12,200068000603_340327.jpg,2168,1,2.6615,1.9854,"(960, 1280, 3)",0.0977
13,200068000695_342452.jpg,3846,41,2.5842,1.7337,"(960, 1280, 3)",0.1715
14,200068000724_341292.jpg,3238,17,2.7044,2.0157,"(1280, 612, 3)",0.1755
15,200068000882_343164.jpg,3772,19,2.7043,1.9721,"(612, 1280, 3)",0.1686
16,200068000895_344299.jpg,3224,14,2.7926,2.1996,"(960, 1280, 3)",0.1436
17,200069500033_314993.jpg,2086,14,2.5878,1.6471,"(960, 1280, 3)",0.0938
18,200069500152_313205.jpg,4136,44,2.6227,1.7514,"(1280, 612, 3)",0.1835
19,200069600258_313631.jpg,4286,16,2.741,2.1915,"(960, 1280, 3)",0.1925
20,200069800084_316693.jpg,4870,21,2.7539,1.9894,"(1280, 960, 3)",0.2523
21,200069800465_315981.jpg,1056,8,2.7228,2.0219,"(612, 1280, 3)",0.0479
22,200069800848_315525.jpg,4486,17,2.7649,2.1116,"(960, 1280, 3)",0.2074
23,200069800882_313056.jpg,3626,17,2.7512,1.9731,"(960, 1280, 3)",0.1665
24,200069900091_315056.jpg,124,0,2.7241,,"(960, 1280, 3)",0.006
25,200070000695_314021.jpg,2334,2,2.6894,1.6232,"(612, 1280, 3)",0.1037
26,200070200575_314521.jpg,3304,10,2.7378,2.2464,"(960, 1280, 3)",0.1666
27,200070300472_315567.jpg,7482,11,2.7625,2.2324,"(960, 1280, 3)",0.3331
28,200070400690_315250.jpg,940,0,2.6752,,"(960, 1280, 3)",0.0429
29,200070500169_314136.jpg,20618,30,2.6462,2.0979,"(1280, 960, 3)",1.0632
30,200070500471_316287.jpg,5154,21,2.7082,1.9432,"(960, 1280, 3)",0.2304
31,200070500701_315338.jpg,8,0,2.9951,,"(960, 1280, 3)",0.001
32,200070500944_314422.jpg,8064,27,2.6208,2.1464,"(960, 1280, 3)",0.359
33,200089200060_168720.jpg,5128,33,2.7469,1.81,"(1280, 1280, 3)",0.2284
34,200089300138_168204.jpg,2898,8,2.711,1.8913,"(612, 1280, 3)",0.1287
35,200089300245_168978.jpg,1808,12,2.6578,1.9235,"(960, 1280, 3)",0.0798
36,200089300314_169487.jpg,1994,3,2.6064,1.9176,"(960, 1280, 3)",0.0888
37,200089400172_169448.jpg,6,0,3.1912,,"(960, 1280, 3)",0.0
38,200089400602_169273.jpg,2794,16,2.7629,2.097,"(612, 1280, 3)",0.1307
39,200089500266_169892.jpg,5178,40,2.7439,1.9689,"(1280, 1280, 3)",0.2304
40,200089600324_170362.jpg,2688,14,2.7678,2.1081,"(960, 1280, 3)",0.1207
41,200089700748_168723.jpg,9018,13,2.7613,2.2664,"(960, 1280, 3)",0.4009
42,200089800626_169275.jpg,23492,31,2.6555,2.1242,"(1280, 960, 3)",1.1509
43,200089900131_168631.jpg,2786,13,2.6932,2.0474,"(960, 1280, 3)",0.1267
44,200089900711_168583.jpg,2,0,2.1598,,"(960, 1280, 3)",0.0
45,200090000526_170543.jpg,0,0,,,"(960, 1280, 3)",0.0
46,200090000627_170684.jpg,7122,43,2.6294,1.8571,"(960, 1280, 3)",0.3172
47,200090000725_168295.jpg,1342,7,2.7808,2.2045,"(960, 1280, 3)",0.0598
48,200090000907_169046.jpg,6400,97,2.6243,1.7394,"(1280, 960, 3)",0.2862
49,200090100346_168699.jpg,6,0,3.0477,,"(960, 1280, 3)",0.001
50,200090100733_169647.jpg,1936,9,2.7541,2.2127,"(960, 1280, 3)",0.0888
51,200092000278_140348.jpg,0,0,,,"(960, 1280, 3)",0.0
52,200092200616_140066.jpg,7824,33,2.6869,1.8806,"(960, 1280, 3)",0.3471
53,200092200910_140443.jpg,4038,41,2.6575,1.9101,"(1280, 612, 3)",0.1785
54,200095400180_141423.jpg,328,0,2.635,,"(960, 1280, 3)",0.015
55,200095500432_141051.jpg,1282,11,2.6453,1.8772,"(960, 1280, 3)",0.0568
56,200095500904_139728.jpg,8060,22,2.7095,1.916,"(960, 1280, 3)",0.357
57,200095600834_140473.jpg,6200,25,2.6674,1.8313,"(1280, 1280, 3)",0.2753
58,200095700226_141477.jpg,5476,34,2.7491,2.0461,"(960, 1280, 3)",0.2414
59,200095700459_141134.jpg,2630,35,2.6529,1.8315,"(1280, 612, 3)",0.1446
60,200095700681_140662.jpg,2474,12,2.725,2.0132,"(960, 1280, 3)",0.1227
